timestamp,city,temperature,description
2026-03-17T14:18:12.468Z,Tokyo,11.13,broken clouds
2026-03-17T14:34:01.568Z,Tokyo,10.82,broken clouds
2026-03-17T14:42:15.734Z,Tokyo,10.79,broken clouds
2026-03-17T14:47:47.004Z,Tokyo,10.79,broken clouds
2026-03-17T16:53:36.145Z,Tokyo,11.38,overcast clouds
2026-03-17T18:44:48.575Z,Tokyo,10.04,broken clouds
2026-03-17T20:27:12.465Z,Tokyo,10.6,broken clouds
2026-03-17T22:21:50.285Z,Tokyo,9.6,broken clouds
2026-03-18T01:08:21.767Z,Tokyo,12.35,broken clouds
2026-03-18T04:12:23.473Z,Tokyo,15.77,broken clouds
2026-03-18T06:48:43.874Z,Tokyo,15.11,overcast clouds
2026-03-18T08:34:57.453Z,Tokyo,15.57,broken clouds
2026-03-18T10:39:38.956Z,Tokyo,14.26,broken clouds
2026-03-18T12:41:29.900Z,Tokyo,14.06,broken clouds
2026-03-18T14:56:06.722Z,Tokyo,13.35,overcast clouds
2026-03-18T16:48:32.626Z,Tokyo,13.9,broken clouds
2026-03-18T18:42:29.479Z,Tokyo,12.41,overcast clouds
2026-03-18T20:24:18.421Z,Tokyo,12.55,overcast clouds
2026-03-18T22:21:43.743Z,Tokyo,11.99,overcast clouds
2026-03-19T01:07:36.424Z,Tokyo,13.66,broken clouds
2026-03-19T04:10:51.578Z,Tokyo,18.89,broken clouds
2026-03-19T06:42:50.510Z,Tokyo,18.13,broken clouds
2026-03-19T08:29:11.729Z,Tokyo,17.23,broken clouds
2026-03-19T10:28:52.237Z,Tokyo,14.84,broken clouds
2026-03-19T12:35:17.424Z,Tokyo,13.15,overcast clouds
2026-03-19T14:40:37.168Z,Tokyo,11.64,light rain
2026-03-19T16:44:19.799Z,Tokyo,10.89,broken clouds
2026-03-19T18:39:56.678Z,Tokyo,11.13,broken clouds
2026-03-19T20:25:25.121Z,Tokyo,10.8,broken clouds
2026-03-19T22:16:19.846Z,Tokyo,10.01,light rain
2026-03-20T01:03:51.615Z,Tokyo,9.45,broken clouds
2026-03-20T04:03:06.767Z,Tokyo,8.88,light rain
2026-03-20T06:39:45.463Z,Tokyo,9.39,mist
2026-03-20T08:28:07.282Z,Tokyo,9.3,broken clouds
2026-03-20T10:26:59.822Z,Tokyo,9.03,overcast clouds
2026-03-20T12:31:28.131Z,Tokyo,8.87,overcast clouds
2026-03-20T14:35:13.851Z,Tokyo,7.47,clear sky
2026-03-20T16:29:43.486Z,Tokyo,8.72,broken clouds
2026-03-20T18:31:39.749Z,Tokyo,6.94,scattered clouds
2026-03-20T20:19:27.807Z,Tokyo,4.82,clear sky
2026-03-20T22:16:16.878Z,Tokyo,5.7,few clouds
2026-03-21T01:00:04.437Z,Tokyo,10.32,clear sky
2026-03-21T03:53:58.950Z,Tokyo,13.91,clear sky
2026-03-21T05:00:34.822Z,Tokyo,15.16,clear sky
2026-03-21T06:29:07.655Z,Tokyo,15.82,few clouds
2026-03-21T08:18:41.794Z,Tokyo,14.29,few clouds
2026-03-21T10:15:22.045Z,Tokyo,12.62,few clouds
2026-03-21T12:23:07.023Z,Tokyo,11.8,few clouds
2026-03-21T14:16:17.878Z,Tokyo,12.22,few clouds
2026-03-21T16:15:43.998Z,Tokyo,9.21,clear sky
2026-03-21T18:20:18.257Z,Tokyo,7.6,few clouds
2026-03-21T20:13:21.210Z,Tokyo,6.33,few clouds
2026-03-21T22:12:29.386Z,Tokyo,6.28,broken clouds
2026-03-22T01:07:22.482Z,Tokyo,11.7,few clouds
2026-03-22T04:08:46.333Z,Tokyo,16.15,broken clouds
2026-03-22T06:36:25.427Z,Tokyo,14.67,overcast clouds
2026-03-22T08:20:41.396Z,Tokyo,14.49,clear sky
2026-03-22T10:16:12.990Z,Tokyo,13.6,clear sky
2026-03-22T12:24:18.280Z,Tokyo,13.58,clear sky
2026-03-22T14:17:31.576Z,Tokyo,13.27,clear sky
2026-03-22T16:16:30.018Z,Tokyo,13.22,overcast clouds
2026-03-22T18:20:28.773Z,Tokyo,10.46,moderate rain
2026-03-22T20:14:05.850Z,Tokyo,10.04,heavy intensity rain
2026-03-22T22:13:56.583Z,Tokyo,11.11,heavy intensity rain
2026-03-23T01:09:01.862Z,Tokyo,10.46,moderate rain
2026-03-23T04:15:30.161Z,Tokyo,14.14,broken clouds
2026-03-23T06:56:25.066Z,Tokyo,15.05,scattered clouds
2026-03-23T08:41:44.158Z,Tokyo,15.39,clear sky
2026-03-23T10:41:49.824Z,Tokyo,12.61,clear sky
2026-03-23T12:38:04.465Z,Tokyo,12.65,clear sky
2026-03-23T14:48:25.481Z,Tokyo,12.28,clear sky
2026-03-23T16:43:46.746Z,Tokyo,12.28,clear sky
2026-03-23T18:37:34.281Z,Tokyo,10.87,clear sky
2026-03-23T20:27:23.846Z,Tokyo,9.77,clear sky
2026-03-23T22:19:18.338Z,Tokyo,10.76,clear sky
2026-03-24T01:00:49.958Z,Tokyo,13.16,clear sky
2026-03-24T04:06:44.026Z,Tokyo,14.97,clear sky
2026-03-24T06:50:18.774Z,Tokyo,15.1,broken clouds
2026-03-24T08:37:46.024Z,Tokyo,14.66,broken clouds
2026-03-24T10:39:33.419Z,Tokyo,12.22,clear sky
2026-03-24T12:41:42.343Z,Tokyo,11.45,broken clouds
2026-03-24T14:50:34.203Z,Tokyo,12.19,overcast clouds
